id,acct_id,acct_name,acct_number,acct_type,balance,acct_status,open_date,closed_date,margin_enabled,risk_tolerance,created_date
750,00751A000000U5DtWAOV,acct_923,1923230082,custodial,2346460,open,2021-11-05T00:00:00Z,2745-08-25T00:00:00Z,restricted,high,2024-10-08T00:00:00Z
751,00752A000000U5DtWAOV,acct_379,1378809051,joint,1257618,open,2020-10-04T00:00:00Z,2353-02-14T00:00:00Z,no,medium,2023-02-20T00:00:00Z
752,00753A000000U5DtWAOV,acct_366,1365221553,joint,1230443,open,2020-09-24T00:00:00Z,2343-04-30T00:00:00Z,no,medium,2023-02-05T00:00:00Z
753,00754A000000U5DtWAOV,acct_208,1207032902,joint,914066,open,2020-05-31T00:00:00Z,2229-04-10T00:00:00Z,no,low,2022-08-16T00:00:00Z
754,00755A000000U5DtWAOV,acct_943,1942838635,custodial,2385677,open,2021-11-19T00:00:00Z,2759-10-15T00:00:00Z,restricted,high,2024-10-29T00:00:00Z
755,00756A000000U5DtWAOV,acct_820,1820136093,trust,2140272,open,2021-08-22T00:00:00Z,2671-04-27T00:00:00Z,pending,high,2024-06-17T00:00:00Z
756,00757A000000U5DtWAOV,acct_275,1274372656,joint,1048745,open,2020-07-19T00:00:00Z,2277-10-28T00:00:00Z,no,medium,2022-10-28T00:00:00Z
757,00758A000000U5DtWAOV,acct_621,1621066146,trust,1742132,open,2021-03-29T00:00:00Z,2527-10-16T00:00:00Z,pending,medium,2023-11-12T00:00:00Z
758,00759A000000U5DtWAOV,acct_37,1035541805,individual,571084,open,2020-01-27T00:00:00Z,2105-08-18T00:00:00Z,yes,low,2022-02-09T00:00:00Z
759,00760A000000U5DtWAOV,acct_668,1667634137,trust,1835268,open,2021-05-02T00:00:00Z,2561-05-13T00:00:00Z,pending,medium,2024-01-02T00:00:00Z
760,00761A000000U5DtWAOV,acct_193,1192244918,joint,884490,open,2020-05-20T00:00:00Z,2218-08-12T00:00:00Z,no,low,2022-07-31T00:00:00Z
761,00762A000000U5DtWAOV,acct_675,1674462834,trust,1848926,open,2021-05-07T00:00:00Z,2566-04-15T00:00:00Z,pending,medium,2024-01-10T00:00:00Z
762,00763A000000U5DtWAOV,acct_662,1661699986,trust,1823400,open,2021-04-28T00:00:00Z,2557-01-31T00:00:00Z,pending,medium,2023-12-27T00:00:00Z
763,00764A000000U5DtWAOV,acct_975,1975077981,custodial,2450156,open,2021-12-13T00:00:00Z,2783-01-12T00:00:00Z,restricted,high,2024-12-04T00:00:00Z
764,00765A000000U5DtWAOV,acct_759,1758468803,trust,2016938,open,2021-07-08T00:00:00Z,2626-11-09T00:00:00Z,pending,high,2024-04-11T00:00:00Z
765,00766A000000U5DtWAOV,acct_588,1587464923,trust,1674930,open,2021-03-05T00:00:00Z,2503-07-25T00:00:00Z,pending,medium,2023-10-06T00:00:00Z
766,00767A000000U5DtWAOV,acct_411,1410094854,joint,1320190,open,2020-10-26T00:00:00Z,2375-09-06T00:00:00Z,no,medium,2023-03-26T00:00:00Z
767,00768A000000U5DtWAOV,acct_313,1312142264,joint,1124285,open,2020-08-16T00:00:00Z,2305-01-21T00:00:00Z,no,medium,2022-12-09T00:00:00Z
768,00769A000000U5DtWAOV,acct_708,1707486622,trust,1914973,open,2021-05-31T00:00:00Z,2590-02-05T00:00:00Z,pending,medium,2024-02-15T00:00:00Z
769,00770A000000U5DtWAOV,acct_801,1800305932,trust,2100612,open,2021-08-07T00:00:00Z,2657-01-08T00:00:00Z,pending,high,2024-05-26T00:00:00Z
770,00771A000000U5DtWAOV,acct_301,1300118955,joint,1100238,open,2020-08-07T00:00:00Z,2296-05-21T00:00:00Z,no,medium,2022-11-26T00:00:00Z
771,00772A000000U5DtWAOV,acct_695,1694316457,trust,1888633,open,2021-05-22T00:00:00Z,2580-08-08T00:00:00Z,pending,medium,2024-01-31T00:00:00Z
772,00773A000000U5DtWAOV,acct_560,1559486791,trust,1618974,open,2021-02-12T00:00:00Z,2483-05-23T00:00:00Z,pending,medium,2023-09-06T00:00:00Z
773,00774A000000U5DtWAOV,acct_831,1830555073,trust,2161110,open,2021-08-29T00:00:00Z,2678-10-31T00:00:00Z,pending,high,2024-06-28T00:00:00Z
774,00775A000000U5DtWAOV,acct_514,1513810341,trust,1527621,open,2021-01-10T00:00:00Z,2450-06-16T00:00:00Z,pending,medium,2023-07-18T00:00:00Z
775,00776A000000U5DtWAOV,acct_427,1426192699,joint,1352385,open,2020-11-07T00:00:00Z,2387-04-15T00:00:00Z,no,medium,2023-04-13T00:00:00Z
776,00777A000000U5DtWAOV,acct_866,1865997721,custodial,2231995,open,2021-09-24T00:00:00Z,2704-05-21T00:00:00Z,restricted,high,2024-08-06T00:00:00Z
777,00778A000000U5DtWAOV,acct_386,1385284573,joint,1270569,open,2020-10-08T00:00:00Z,2357-10-16T00:00:00Z,no,medium,2023-02-27T00:00:00Z
778,00779A000000U5DtWAOV,acct_608,1607283140,trust,1714566,open,2021-03-19T00:00:00Z,2517-11-07T00:00:00Z,pending,medium,2023-10-28T00:00:00Z
779,00780A000000U5DtWAOV,acct_649,1648897088,trust,1797794,open,2021-04-19T00:00:00Z,2547-11-09T00:00:00Z,pending,medium,2023-12-13T00:00:00Z
780,00781A000000U5DtWAOV,acct_605,1604976548,trust,1709953,open,2021-03-18T00:00:00Z,2516-03-10T00:00:00Z,pending,medium,2023-10-25T00:00:00Z
781,00782A000000U5DtWAOV,acct_620,1619259472,trust,1738519,open,2021-03-28T00:00:00Z,2526-06-27T00:00:00Z,pending,medium,2023-11-10T00:00:00Z
782,00783A000000U5DtWAOV,acct_568,1567282585,trust,1634565,open,2021-02-18T00:00:00Z,2489-01-04T00:00:00Z,pending,medium,2023-09-14T00:00:00Z
783,00784A000000U5DtWAOV,acct_361,1360130604,joint,1220261,open,2020-09-20T00:00:00Z,2339-08-28T00:00:00Z,no,medium,2023-01-30T00:00:00Z
784,00785A000000U5DtWAOV,acct_82,1081251821,individual,662504,open,2020-02-29T00:00:00Z,2138-08-02T00:00:00Z,yes,low,2022-03-31T00:00:00Z
785,00786A000000U5DtWAOV,acct_750,1749534257,trust,1999069,open,2021-07-01T00:00:00Z,2620-06-01T00:00:00Z,pending,medium,2024-04-01T00:00:00Z
786,00787A000000U5DtWAOV,acct_901,1900548774,custodial,2301098,open,2021-10-19T00:00:00Z,2729-04-19T00:00:00Z,restricted,high,2024-09-13T00:00:00Z
787,00788A000000U5DtWAOV,acct_798,1797516471,trust,2095033,open,2021-08-05T00:00:00Z,2655-01-04T00:00:00Z,pending,high,2024-05-23T00:00:00Z
788,00789A000000U5DtWAOV,acct_520,1519547267,trust,1539095,open,2021-01-14T00:00:00Z,2454-08-05T00:00:00Z,pending,medium,2023-07-24T00:00:00Z
789,00790A000000U5DtWAOV,acct_978,1977635137,custodial,2455270,open,2021-12-15T00:00:00Z,2784-11-15T00:00:00Z,restricted,high,2024-12-07T00:00:00Z
790,00791A000000U5DtWAOV,acct_942,1942275863,custodial,2384552,open,2021-11-19T00:00:00Z,2759-05-20T00:00:00Z,restricted,high,2024-10-29T00:00:00Z
791,00792A000000U5DtWAOV,acct_137,1136479557,individual,772959,open,2020-04-10T00:00:00Z,2178-05-27T00:00:00Z,yes,low,2022-05-30T00:00:00Z
792,00793A000000U5DtWAOV,acct_275,1274569065,joint,1049138,open,2020-07-19T00:00:00Z,2277-12-19T00:00:00Z,no,medium,2022-10-29T00:00:00Z
793,00794A000000U5DtWAOV,acct_924,1923539644,custodial,2347079,open,2021-11-05T00:00:00Z,2745-11-15T00:00:00Z,restricted,high,2024-10-08T00:00:00Z
794,00795A000000U5DtWAOV,acct_337,1336064687,joint,1172129,open,2020-09-02T00:00:00Z,2322-04-22T00:00:00Z,no,medium,2023-01-04T00:00:00Z
795,00796A000000U5DtWAOV,acct_655,1654518949,trust,1809038,open,2021-04-23T00:00:00Z,2551-11-28T00:00:00Z,pending,medium,2023-12-19T00:00:00Z
796,00797A000000U5DtWAOV,acct_211,1209997935,joint,919996,open,2020-06-02T00:00:00Z,2231-05-31T00:00:00Z,no,low,2022-08-19T00:00:00Z
797,00798A000000U5DtWAOV,acct_216,1215577279,joint,931155,open,2020-06-06T00:00:00Z,2235-06-08T00:00:00Z,no,low,2022-08-25T00:00:00Z
